stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2444,Le Bridoux,LE BRIDOUX 62310 RADINGHEM,50.635226,2.891162,1,,1,,,0
2443,Rue Duthoit,RUE DUTHOIT 62310 RADINGHEM,50.629282,2.898317,1,,1,,,0
8001,Haute Rue,HAUTE RUE CLE_COMMUNE: 793,50.616209,2.895195,1,,1,,,0
99,Cimetiere,ANSTAING CIMETIERE 59152 ANSTAING,50.607234,3.187155,1,,1,,,0
6959,Leo Lagrange,LEO LAGRANGE 59280 ARMENTIERES,50.694524,2.887358,1,,1,,,0
5776,Jean Jaures,JEAN JAURES 59280 ARMENTIERES,50.685787,2.887515,1,,1,,,0
147,Deffontaines,DEFFONTAINE 59780 BAISIEUX,50.609797,3.22945,1,,1,,,0
159,Frontiere,BAISIEUX FRONTIERE 59780 BAISIEUX,50.607694,3.253265,1,,1,,,0
5780,La Quenouille,LA QUENOUILLE 59910 BONDUES,50.694044,3.089344,1,,1,,,0
5791,Dom De La Vigne,DOMAINE DE LA VIGNE 59910 BONDUES,50.714166,3.085889,1,,1,,,0
5781,Bas Chemin,BAS CHEMIN 59910 BONDUES,50.711073,3.088541,1,,1,,,0
180,Fort De Bondues,FORT DE BONDUES 59910 BONDUES,50.691455,3.087427,1,,1,,,0
7037,Inst Cx Blanche,INSTITUTION LA CROIX BLANCHE 59910 BONDUES,50.719308,3.108841,1,,1,,,0
5173,Voie227,VOIE227 59910 BONDUES,50.71731,3.073151,1,,1,,,0
198,N. Segard,BONDUES NORBERT SEGARD 59910 BONDUES,50.70492,3.09455,1,,1,,,0
219,Chateau D'Eau,CHATEAU D'EAU 59910 BONDUES,50.720655,3.109964,1,,1,,,0
229,Les Peupliers,LES PEUPLIERS 59200 TOURCOING,50.769537,3.083468,1,,1,,,0
246,Marequaix,MAREQUAIX 59152 CHERENG,50.609761,3.214393,1,,1,,,0
7732,Abbe Lemire,BONAPARTE CLE_COMMUNE: 12,50.761942,3.001197,1,,1,,,0
307,Kleber,KLEBER 59170 CROIX,50.684285,3.154496,1,,1,,,0
4630,Villa Cavrois,VILLA CAVROIS 59170 CROIX,50.66888,3.153581,1,,1,,,0
5523,Ghesquiere,GHESQUIERE 59320 EMMERIN,50.597356,2.99976,1,,1,,,0
5576,Calvaire,CALVAIRE 59320 EMMERIN,50.59208,3.003382,1,,1,,,0
7815,Trois Fetus,LES TROIS FETUS CLE_COMMUNE: 18,50.637473,2.923107,1,,1,,,0
8007,Rue De La Gare,RUE DE LA GARE CLE_COMMUNE: 18,50.648931,2.911052,1,,1,,,0
5974,Fin De La Guerre,FIN DE LA GUERRE 59320 ESCOBECQUES,50.619082,2.9385,1,,1,,,0
7764,Tilmant,TILMANT CLE_COMMUNE: 22,50.607911,3.059558,1,,1,,,0
342,Rue D'Haubourdin,RUE D'HAUBOURDIN 59155 FACHES THUMESNIL,50.599472,3.068344,1,,1,,,0
5708,4 Chemins,4 CHEMINS 59134 FOURNES EN WEPPES,50.580429,2.873888,1,,1,,,0
383,Croix Au Bois,CROIX AU BOIS 59236 FRELINGHIEN,50.696543,2.976814,1,,1,,,0
