service_id,date,exception_type
39349-_20R02-LAMJV,20210426,1
39349-_20R03-LAMJV,20210426,1
39349-_20R04-LAMJV,20210426,1
39349-_20R05-LAMJV,20210426,1
39349-_20R07-LAMJV,20210426,1
39349-_20R08-LAMJV,20210426,1
39349-_20R09-LAMJV,20210426,1
39349-_20R10-LAMJV,20210426,1
39349-_20R11-LAMJV,20210426,1
39349-_20R12-LAMJV,20210426,1
39349-_20R13-LAMJV,20210426,1
39349-_20R14-LAMJV,20210426,1
39349-_20R15-LAMJV,20210426,1
39349-_20R16-LAMJV,20210426,1
39349-_20R17-LAMJV,20210426,1
39349-_20R18-LAMJV,20210426,1
39349-_20R19-LAMJV,20210426,1
39349-_20R20-LAMJV,20210426,1
39349-_20R21-LAMJV,20210426,1
39349-_20R22-LAMJV,20210426,1
39349-_20R23-LAMJV,20210426,1
39349-_20R24-LAMJV,20210426,1
39349-_20R25-LAMJV,20210426,1
39349-_20R26-LAMJV,20210426,1
39349-_20R27-LAMJV,20210426,1
39349-_20R28-LAMJV,20210426,1
39349-_20R29-LAMJV,20210426,1
39349-_20R30-LAMJV,20210426,1
39349-_20R31-LAMJV,20210426,1
39349-_20R32-LAMJV,20210426,1
39349-_20R33-LAMJV,20210426,1
39349-_20R34-LAMJV,20210426,1
39349-_20R35-LAMJV,20210426,1
39349-_20R36-LAMJV,20210426,1
39349-_20R37-LAMJV,20210426,1
39349-_20R38-LAMJV,20210426,1
39349-_20R39-LAMJV,20210426,1
39349-_20R40-LAMJV,20210426,1
39349-_20R41-LAMJV,20210426,1
39349-_20R42-LAMJV,20210426,1
39349-_20R43-LAMJV,20210426,1
39349-_20R44-LAMJV,20210426,1
39349-_20R45-LAMJV,20210426,1
39349-_20R46-LAMJV,20210426,1
39349-_20R47-LAMJV,20210426,1
39349-_20R48-LAMJV,20210426,1
39349-_20R49-LAMJV,20210426,1
39349-_20R50-LAMJV,20210426,1
39349-_20R51-LAMJV,20210426,1
39349-_20R52-LAMJV,20210426,1
39349-_20R53-LAMJV,20210426,1
39349-_20R54-LAMJV,20210426,1
39349-_20R55-LAMJV,20210426,1
39349-_20R56-LAMJV,20210426,1
39349-_20R57-LAMJV,20210426,1
39349-_20R58-LAMJV,20210426,1
39349-_20R59-LAMJV,20210426,1
39349-_20R60-LAMJV,20210426,1
39349-_20R61-LAMJV,20210426,1
39349-_20R62-LAMJV,20210426,1
39349-_20R63-LAMJV,20210426,1
39349-_20R64-LAMJV,20210426,1
39349-_20R65-LAMJV,20210426,1
39349-_20R66-LAMJV,20210426,1
39349-_20R67-LAMJV,20210426,1
39349-_20R68-LAMJV,20210426,1
39355-_22R01-LAMJV,20210426,1
39355-_22R02-LAMJV,20210426,1
39355-_22R03-LAMJV,20210426,1
39355-_22R04-LAMJV,20210426,1
39355-_22R05-LAMJV,20210426,1
39355-_22R06-LAMJV,20210426,1
39355-_22R07-LAMJV,20210426,1
39355-_22R08-LAMJV,20210426,1
39355-_22R09-LAMJV,20210426,1
39355-_22R10-LAMJV,20210426,1
39355-_22R11-LAMJV,20210426,1
39355-_22R12-LAMJV,20210426,1
39355-_22R13-LAMJV,20210426,1
39355-_22R14-LAMJV,20210426,1
39355-_22R15-LAMJV,20210426,1
39355-_22R16-LAMJV,20210426,1
39355-_22R17-LAMJV,20210426,1
39355-_22R18-LAMJV,20210426,1
39355-_22R19-LAMJV,20210426,1
39355-_22R20-LAMJV,20210426,1
39355-_22R21-LAMJV,20210426,1
39355-_22R22-LAMJV,20210426,1
39355-_22R23-LAMJV,20210426,1
39355-_22R24-LAMJV,20210426,1
39355-_22R25-LAMJV,20210426,1
39355-_22R26-LAMJV,20210426,1
39355-_22R27-LAMJV,20210426,1
39355-_22R28-LAMJV,20210426,1
39355-_22R29-LAMJV,20210426,1
39355-_22R30-LAMJV,20210426,1
39355-_22R31-LAMJV,20210426,1
39355-_22R32-LAMJV,20210426,1
39355-_22R33-LAMJV,20210426,1
39355-_22R34-LAMJV,20210426,1
39355-_22R35-LAMJV,20210426,1
39355-_22R36-LAMJV,20210426,1
39355-_22R37-LAMJV,20210426,1
39355-_22R38-LAMJV,20210426,1
39355-_22R39-LAMJV,20210426,1
39355-_22R40-LAMJV,20210426,1
39355-_22R41-LAMJV,20210426,1
39355-_22R42-LAMJV,20210426,1
39355-_22R43-LAMJV,20210426,1
39355-_22R44-LAMJV,20210426,1
39355-_22R45-LAMJV,20210426,1
39355-_22R46-LAMJV,20210426,1
39355-_22R47-LAMJV,20210426,1
39355-_22R48-LAMJV,20210426,1
39355-_22R49-LAMJV,20210426,1
39355-_22R50-LAMJV,20210426,1
39355-_22R51-LAMJV,20210426,1
39355-_22R52-LAMJV,20210426,1
39355-_22R53-LAMJV,20210426,1
39355-_22R54-LAMJV,20210426,1
39355-_22R55-LAMJV,20210426,1
39355-_22R56-LAMJV,20210426,1
39355-_22R57-LAMJV,20210426,1
39355-_22R58-LAMJV,20210426,1
39355-_22R59-LAMJV,20210426,1
39355-_22R60-LAMJV,20210426,1
39355-_22R61-LAMJV,20210426,1
39355-_22R62-LAMJV,20210426,1
39355-_22R63-LAMJV,20210426,1
39355-_22R64-LAMJV,20210426,1
