route_id,service_id,trip_id,trip_headsign,direction_id,block_id
33,41521-__3301-LAMJV,4330539,Leers Coeur De Ville,0,
33,41521-__3303-LAMJV,4330563,Leers Coeur De Ville,0,
33,41521-__3306-LAMJV,4330589,Leers Coeur De Ville,0,
33,41521-__3308-LAMJV,4330607,Leers Coeur De Ville,0,
33,41521-__3314-LAMJV,4330653,Leers Coeur De Ville,0,
65,41159-__6502-LAMJV,4276678,Armentieres Armentieres Gare,0,
66,39969-__6606-LAMJV,4150661,Forest Sur Marque Eglise,0,
66,39969-__6610-LAMJV,4150675,Forest Sur Marque Eglise,0,
66,39969-__6614-LAMJV,4150699,Forest Sur Marque Eglise,0,
80,40515-__8002-LAMJV,4180986,Armentieres College Jean Rostand,0,
82,41758-__8201-LAMJV,4355617,Tourcoing Pt De Neuville,0,
82,41758-__8203-LAMJV,4355653,Armentieres Armentieres Gare,1,
CITH,41839-CITH01-LAMJV,4363362,Halluin Hotel De Ville,0,
CITH,41839-CITH01-LAMJV,4363369,Halluin Hotel De Ville,0,
CITH,41839-CITH03-LAMJV,4363372,Halluin Hotel De Ville,0,
CITH,41839-CITH06-LAMJV,4363383,Halluin Hotel De Ville,0,
14,41021-__1401-LAMJV,4264183,Wattignies Cimetiere,1,
14,41021-__1401-LAMJV,4264187,Wattignies Cimetiere,1,
14,41021-__1403-LAMJV,4264199,Wattignies Cimetiere,1,
14,41021-__1403-LAMJV,4264201,Wattignies Marais,1,
14,41021-__1403-LAMJV,4264209,Wattignies Cimetiere,1,
14,41021-__1404-LAMJV,4264224,Wattignies Cimetiere,1,
14,41021-__1407-LAMJV,4264263,Wattignies Marais,1,
14,41021-__1408-LAMJV,4264268,Wattignies Cimetiere,1,
14,41021-__1408-LAMJV,4264274,Wattignies Marais,1,
14,41021-__1409-LAMJV,4264282,Wattignies Marais,1,
14,41021-__1414-LAMJV,4264342,Wattignies Marais,1,
L2,41304-__L201-LAMJV,4301807,Loos Les Oliveaux,1,
L2,41304-__L201-LAMJV,4301811,Loos Les Oliveaux,1,
L2,41304-__L201-LAMJV,4301817,Loos Les Oliveaux,1,
L2,41304-__L202-LAMJV,4301838,Loos Les Oliveaux,1,
L2,41304-__L202-LAMJV,4301842,Loos Les Oliveaux,1,
L2,41304-__L203-LAMJV,4301869,Loos Les Oliveaux,1,
L2,41304-__L203-LAMJV,4301871,Loos Les Oliveaux,1,
L2,41304-__L203-LAMJV,4301877,Loos Les Oliveaux,1,
L2,41304-__L203-LAMJV,4301879,Loos Les Oliveaux,1,
L2,41304-__L250-LAMJV,4301884,Loos Les Oliveaux,1,
L2,41304-__L250-LAMJV,4301896,Loos Les Oliveaux,1,
L2,41304-__L253-LAMJV,4301971,Loos Les Oliveaux,1,
L2,41304-__L254-LAMJV,4301993,Loos Les Oliveaux,1,
L2,41304-__L254-LAMJV,4301999,Loos Les Oliveaux,1,
L5,41308-__L552-LAMJV,4302753,Marcq En Baroeul Montgolfier,1,
L5,41308-__L555-LAMJV,4302808,Marcq En Baroeul Montgolfier,1,
L5,41308-__L558-LAMJV,4302859,Marcq En Baroeul Montgolfier,1,
15,40970-__1501-LAMJV,4258174,Lesquin Verdun,0,
15,40970-__1502-LAMJV,4258180,Lesquin Verdun,0,
15,40970-__1502-LAMJV,4258186,Lesquin Verdun,0,
15,40970-__1504-LAMJV,4258226,Lesquin Verdun,0,
15,40970-__1505-LAMJV,4258258,Lesquin Verdun,0,
15,40970-__1506-LAMJV,4258271,Lesquin Verdun,0,
15,40970-__1506-LAMJV,4258279,Lesquin Verdun,0,
15,40970-__1507-LAMJV,4258295,Lesquin Verdun,0,
15,40970-__1507-LAMJV,4258301,Lesquin Verdun,0,
15,40970-__1508-LAMJV,4258306,Lesquin Verdun,0,
L6,41642-__L650-LAMJV,4345046,Villeneuve D Ascq Contrescarpe,0,
L6,41642-__L650-LAMJV,4345058,Villeneuve D Ascq Contrescarpe,0,
L6,41642-__L652-LAMJV,4345126,Villeneuve D Ascq Contrescarpe,0,
L6,41642-__L655-LAMJV,4345206,Villeneuve D Ascq Contrescarpe,0,
L6,41642-__L656-LAMJV,4345224,Villeneuve D Ascq Contrescarpe,0,
15,40970-__1509-LAMJV,4258318,Lesquin Verdun,0,
15,40970-__1509-LAMJV,4258326,Lesquin Verdun,0,
20R,39349-_20R45-LAMJV,4101679,Sailly Lez Lannoy Tabac,0,
65R,39387-_65R09-LAMJV,4102534,Armentieres Armentieres Gare,0,
69R,39390-_69R24-LAMJV,4102598,Sainghin En Melantois Cimetiere,1,
ME2,41426-_ME202-LAMJV,4322842,Tourcoing C.H. Dron,1,
ME2,41426-_ME202-LAMJV,4322854,Tourcoing C.H. Dron,1,
ME2,41426-_ME203-LAMJV,4322872,Tourcoing C.H. Dron,1,
ME2,41426-_ME205-LAMJV,4322880,Tourcoing C.H. Dron,1,
ME2,41426-_ME207-LAMJV,4322893,Tourcoing C.H. Dron,1,
ME2,41426-_ME208-LAMJV,4322894,Tourcoing C.H. Dron,1,
ME2,41426-_ME208-LAMJV,4322900,Tourcoing C.H. Dron,1,
ME2,41426-_ME208-LAMJV,4322910,Tourcoing C.H. Dron,1,
ME2,41426-_ME209-LAMJV,4322921,Tourcoing C.H. Dron,1,
ME2,41426-_ME209-LAMJV,4322927,Tourcoing C.H. Dron,1,
ME2,41426-_ME211-LAMJV,4322959,Tourcoing C.H. Dron,1,
ME2,41426-_ME211-LAMJV,4322961,Tourcoing C.H. Dron,1,
ME2,41426-_ME211-LAMJV,4322965,Tourcoing C.H. Dron,1,
ME2,41426-_ME214-LAMJV,4323000,Tourcoing C.H. Dron,1,
ME2,41426-_ME216-LAMJV,4323016,Tourcoing C.H. Dron,1,
ME2,41426-_ME217-LAMJV,4323037,Tourcoing C.H. Dron,1,
ME2,41426-_ME220-LAMJV,4323055,Tourcoing C.H. Dron,1,
ME2,41426-_ME222-LAMJV,4323073,Tourcoing C.H. Dron,1,
ME2,41426-_ME222-LAMJV,4323089,Tourcoing C.H. Dron,1,
ME2,41426-_ME223-LAMJV,4323093,Tourcoing C.H. Dron,1,
ME2,41426-_ME223-LAMJV,4323095,Tourcoing C.H. Dron,1,
ME2,41426-_ME225-LAMJV,4323109,Tourcoing C.H. Dron,1,
ME2,41426-_ME225-LAMJV,4323113,Tourcoing C.H. Dron,1,
ME2,41426-_ME226-LAMJV,4323134,Tourcoing C.H. Dron,1,
ME2,41426-_ME226-LAMJV,4323138,Tourcoing C.H. Dron,1,
ME2,41426-_ME230-LAMJV,4323161,Tourcoing C.H. Dron,1,
ME2,41426-_ME231-LAMJV,4323167,Tourcoing C.H. Dron,1,
ME2,41426-_ME231-LAMJV,4323171,Tourcoing C.H. Dron,1,
ME2,41426-_ME233-LAMJV,4323186,Tourcoing C.H. Dron,1,
ME2,41426-_ME233-LAMJV,4323190,Tourcoing C.H. Dron,1,
ME2,41426-_ME237-LAMJV,4323235,Tourcoing C.H. Dron,1,
ME2,41426-_ME242-LAMJV,4323263,Tourcoing C.H. Dron,1,
ME2,41426-_ME242-LAMJV,4323265,Tourcoing C.H. Dron,1,
ME2,41426-_ME244-LAMJV,4323290,Tourcoing C.H. Dron,1,
ME2,41426-_ME245-LAMJV,4323297,Tourcoing C.H. Dron,1,
ME2,41426-_ME245-LAMJV,4323301,Tourcoing C.H. Dron,1,
ME2,41426-_ME247-LAMJV,4323311,Tourcoing C.H. Dron,1,
ME2,41426-_ME248-LAMJV,4323328,Tourcoing C.H. Dron,1,
ME2,41426-_ME249-LAMJV,4323332,Tourcoing C.H. Dron,1,
ME2,41426-_ME252-LAMJV,4323364,Tourcoing C.H. Dron,1,
ME2,41426-_ME252-LAMJV,4323366,Tourcoing C.H. Dron,1,
ME2,41426-_ME252-LAMJV,4323372,Tourcoing C.H. Dron,1,
ME2,41426-_ME255-LAMJV,4323382,Tourcoing C.H. Dron,1,
ME2,41426-_ME255-LAMJV,4323388,Tourcoing C.H. Dron,1,
ME2,41426-_ME256-LAMJV,4323393,Tourcoing C.H. Dron,1,
ME2,41426-_ME256-LAMJV,4323397,Tourcoing C.H. Dron,1,
ME2,41426-_ME262-LAMJV,4323424,Tourcoing C.H. Dron,1,
ME2,41426-_ME268-LAMJV,4323451,Tourcoing C.H. Dron,1,
ME2,41426-_ME269-LAMJV,4323454,Tourcoing C.H. Dron,1,
ME2,41426-_ME271-LAMJV,4323467,Tourcoing C.H. Dron,1,
ME2,41426-_ME273-LAMJV,4323471,Tourcoing C.H. Dron,1,
ME2,41426-_ME276-LAMJV,4323481,Tourcoing C.H. Dron,1,
ME2,41426-_ME278-LAMJV,4323490,Tourcoing C.H. Dron,1,
ME2,41426-_ME281-LAMJV,4323506,Tourcoing C.H. Dron,1,
ME2,41426-_ME282-LAMJV,4323510,Tourcoing C.H. Dron,1,
ME2,41426-_ME285-LAMJV,4323522,Tourcoing C.H. Dron,1,
21R,41243-_21R34-LAMJV,4290993,Carnin Mairie,0,
33,41324-__3301-D,4304895,Leers Coeur De Ville,0,
CITH,41838-CITH02-D,4363361,Halluin Hotel De Ville,0,
14,40628-__1402-D,4221124,Wattignies Marais,1,
14,40628-__1403-D,4221137,Wattignies Cimetiere,1,
14,40628-__1403-D,4221139,Wattignies Marais,1,
14,40628-__1404-D,4221150,Wattignies Marais,1,
14,40628-__1405-D,4221164,Wattignies Cimetiere,1,
L2,39669-__L250-D,4131937,Loos Les Oliveaux,1,
L2,39669-__L250-D,4131945,Loos Les Oliveaux,1,
L2,39669-__L250-D,4131947,Loos Les Oliveaux,1,
L2,39669-__L250-D,4131953,Loos Les Oliveaux,1,
L2,39669-__L250-D,4131957,Loos Les Oliveaux,1,
15,40968-__1502-D,4257992,Lesquin Verdun,0,
16,41428-__1602-D,4323735,Marcq En Baroeul Clem. Hippodrome,0,
16,41428-__1602-D,4323739,Marcq En Baroeul Clem. Hippodrome,0,
L6,39742-__L650-D,4140522,Villeneuve D Ascq Contrescarpe,0,
L6,39742-__L651-D,4140540,Villeneuve D Ascq Contrescarpe,0,
25R,39363-_25R23-D,4102184,Illies Centre,1,
27R,39369-_27R01-D,4102324,Armentieres Armentieres Gare,1,
27R,39369-_27R03-D,4102326,Armentieres Armentieres Gare,1,
28R,39372-_28R02-D,4102358,Illies Centre,0,
65R,39386-_65R11-D,4102526,Armentieres Armentieres Gare,0,
69R,39389-_69R18-D,4102564,Sainghin En Melantois Cimetiere,1,
82R,39404-_82R18-D,4102802,Armentieres Armentieres Gare,1,
21R,41242-_21R36-D,4290939,Carnin Mairie,0,
ME2,41374-_ME203-D,4313492,Tourcoing C.H. Dron,1,
ME2,41374-_ME205-D,4313525,Tourcoing C.H. Dron,1,
ME2,41374-_ME207-D,4313564,Tourcoing C.H. Dron,1,
ME2,41374-_ME208-D,4313583,Tourcoing C.H. Dron,1,
ME2,41374-_ME208-D,4313587,Tourcoing C.H. Dron,1,
ME2,41374-_ME211-D,4313633,Tourcoing C.H. Dron,1,
ME2,41374-_ME211-D,4313635,Tourcoing C.H. Dron,1,
